time,Niger
1/24/2015 13:30,0.790200976
1/24/2015 14:30,0.634731146
1/24/2015 15:30,0.414636548
1/24/2015 16:30,0.166428531
1/24/2015 17:30,0.013549037
1/24/2015 18:30,0
1/24/2015 19:30,0
1/24/2015 20:30,0
1/24/2015 21:30,0
1/24/2015 22:30,0
1/24/2015 23:30,0
1/25/2015 0:30,0
1/25/2015 1:30,0
1/25/2015 2:30,0
1/25/2015 3:30,0
1/25/2015 4:30,0
1/25/2015 5:30,0.000582174
1/25/2015 6:30,0.073134632
1/25/2015 7:30,0.313763916
1/25/2015 8:30,0.561837385
1/25/2015 9:30,0.7558798
1/25/2015 10:30,0.863197157
1/25/2015 11:30,0.908858911
1/25/2015 12:30,0.886426312
1/25/2015 13:30,0.79658474
1/25/2015 14:30,0.637453237
1/25/2015 15:30,0.417122408
1/25/2015 16:30,0.16818095
1/25/2015 17:30,0.014074301
1/25/2015 18:30,0
1/25/2015 19:30,0
1/25/2015 20:30,0
1/25/2015 21:30,0
1/25/2015 22:30,0
1/25/2015 23:30,0
1/26/2015 0:30,0
1/26/2015 1:30,0
1/26/2015 2:30,0
1/26/2015 3:30,0
1/26/2015 4:30,0
1/26/2015 5:30,0.000597482
1/26/2015 6:30,0.073136348
1/26/2015 7:30,0.312983254
1/26/2015 8:30,0.56367863
1/26/2015 9:30,0.755914756
1/26/2015 10:30,0.864824844
1/26/2015 11:30,0.910173398
1/26/2015 12:30,0.888508243
1/26/2015 13:30,0.798965002
1/26/2015 14:30,0.642476401
1/26/2015 15:30,0.421436905
1/26/2015 16:30,0.170765761
1/26/2015 17:30,0.014506665
1/26/2015 18:30,0
1/26/2015 19:30,0
1/26/2015 20:30,0
1/26/2015 21:30,0
1/26/2015 22:30,0
1/26/2015 23:30,0
1/27/2015 0:30,0
1/27/2015 1:30,0
1/27/2015 2:30,0
1/27/2015 3:30,0
1/27/2015 4:30,0
1/27/2015 5:30,0.000602188
1/27/2015 6:30,0.072862396
1/27/2015 7:30,0.311927509
1/27/2015 8:30,0.564869528
1/27/2015 9:30,0.763686045
1/27/2015 10:30,0.879797825
1/27/2015 11:30,0.928705658
1/27/2015 12:30,0.902394321
1/27/2015 13:30,0.812269187
1/27/2015 14:30,0.652750283
1/27/2015 15:30,0.426778897
1/27/2015 16:30,0.174230514
1/27/2015 17:30,0.01509856
1/27/2015 18:30,0
1/27/2015 19:30,0
1/27/2015 20:30,0
1/27/2015 21:30,0
1/27/2015 22:30,0
1/27/2015 23:30,0
1/28/2015 0:30,0
1/28/2015 1:30,0
1/28/2015 2:30,0
1/28/2015 3:30,0
1/28/2015 4:30,0
1/28/2015 5:30,0.000614598
1/28/2015 6:30,0.074603775
1/28/2015 7:30,0.319441231
1/28/2015 8:30,0.575368602
1/28/2015 9:30,0.777081135
1/28/2015 10:30,0.891309499
1/28/2015 11:30,0.941694047
1/28/2015 12:30,0.920035404
1/28/2015 13:30,0.825948849
1/28/2015 14:30,0.664316348
1/28/2015 15:30,0.435821075
1/28/2015 16:30,0.178943862
1/28/2015 17:30,0.015956333
1/28/2015 18:30,0
1/28/2015 19:30,0
1/28/2015 20:30,0
1/28/2015 21:30,0
1/28/2015 22:30,0
1/28/2015 23:30,0
1/29/2015 0:30,0
1/29/2015 1:30,0
1/29/2015 2:30,0
1/29/2015 3:30,0
1/29/2015 4:30,0
1/29/2015 5:30,0.000651412
1/29/2015 6:30,0.076794292
1/29/2015 7:30,0.325410737
1/29/2015 8:30,0.583611778
1/29/2015 9:30,0.786122621
1/29/2015 10:30,0.899794046
1/29/2015 11:30,0.948992145
1/29/2015 12:30,0.924761561
1/29/2015 13:30,0.830851293
1/29/2015 14:30,0.661980998
